구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y
kor,1100000000,서울특별시,,,60,127
kor,1111000000,서울특별시,종로구,,60,127
kor,1114000000,서울특별시,중구,,60,127
kor,1117000000,서울특별시,용산구,,60,126
kor,1120000000,서울특별시,성동구,,61,127
kor,1121500000,서울특별시,광진구,,62,126
kor,1123000000,서울특별시,동대문구,,61,127
kor,1126000000,서울특별시,중랑구,,62,128
kor,1129000000,서울특별시,성북구,,61,127
kor,1130500000,서울특별시,강북구,,61,128
kor,1132000000,서울특별시,도봉구,,61,129
kor,1135000000,서울특별시,노원구,,61,129
kor,1138000000,서울특별시,은평구,,59,127
kor,1141000000,서울특별시,서대문구,,59,127
kor,1144000000,서울특별시,마포구,,59,127
kor,1147000000,서울특별시,양천구,,58,126
kor,1150000000,서울특별시,강서구,,58,126
kor,1153000000,서울특별시,구로구,,58,125
kor,1154500000,서울특별시,금천구,,59,124
kor,1156000000,서울특별시,영등포구,,58,126
kor,1159000000,서울특별시,동작구,,59,125
kor,1162000000,서울특별시,관악구,,59,125
kor,1165000000,서울특별시,서초구,,61,125
kor,1168000000,서울특별시,강남구,,61,126
kor,1171000000,서울특별시,송파구,,62,126
kor,1174000000,서울특별시,강동구,,62,126
kor,2600000000,부산광역시,,,98,76
kor,2611000000,부산광역시,중구,,97,74
kor,2614000000,부산광역시,서구,,97,74
kor,2617000000,부산광역시,동구,,98,75
kor,2620000000,부산광역시,영도구,,98,74
kor,2623000000,부산광역시,부산진구,,97,75
kor,2626000000,부산광역시,동래구,,98,76
kor,2629000000,부산광역시,남구,,98,75
kor,2632000000,부산광역시,북구,,96,76
kor,2635000000,부산광역시,해운대구,,99,75
kor,2638000000,부산광역시,사하구,,96,74
kor,2641000000,부산광역시,금정구,,98,77
kor,2644000000,부산광역시,강서구,,96,76
kor,2647000000,부산광역시,연제구,,98,76
kor,2650000000,부산광역시,수영구,,99,75
kor,2653000000,부산광역시,사상구,,96,75
kor,2671000000,부산광역시,기장군,,100,77
kor,2700000000,대구광역시,,,89,90
kor,2711000000,대구광역시,중구,,89,90
kor,2714000000,대구광역시,동구,,90,91
kor,2717000000,대구광역시,서구,,88,90
kor,2720000000,대구광역시,남구,,89,90
kor,2723000000,대구광역시,북구,,89,91
kor,2726000000,대구광역시,수성구,,89,90
kor,2729000000,대구광역시,달서구,,88,90
kor,2771000000,대구광역시,달성군,,86,88
kor,2800000000,인천광역시,,,55,124
kor,2811000000,인천광역시,중구,,54,125
kor,2814000000,인천광역시,동구,,54,125
kor,2817700000,인천광역시,미추홀구,,54,124
